locustag_ID;locustag;GenBank Accession;Molweight (kDa);length (nt);Transmembrane Helices (JGI);No_of_disordered_domains;length_of_disordered_domains;percentage_of_discordered_domain;tool_for_disordered_domains;Localisation(DavidLeaSmith);NbofTMHs(DavidLeaSmith);nr_of_interactions(Sato);self interaction(Sato);interactions(Sato)
sll1549-5UTR;sll1549;NP_442960;NA;41;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1550;sll1550;NP_442959;NA;1635;0;NA;NA;NA;NA;unknown;0;;;
sll1550-3UTR;sll1550;NP_442959;NA;415;0;NA;NA;NA;NA;unknown;0;;;
sll1550-5UTR;sll1550;NP_442959;NA;107;0;NA;NA;NA;NA;unknown;0;;;
sll1559;sll1559;NP_441695;40.768;1155;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1559-5UTR;sll1559;NP_441695;NA;103;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1560;sll1560;NP_441692;NA;1017;0;NA;NA;NA;NA;NA;NA;;;
sll1561;sll1561;NP_441689;110.03;2973;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1561-3UTR;sll1561;NP_441689;NA;89;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1561-5UTR;sll1561;NP_441689;NA;40;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1570;sll1570;NP_440564;26.62;732;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1570-as;sll1570;NP_440564;NA;162;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1571;sll1571;NP_440563;34.534;942;6;NA;NA;NA;NA;PM;6;;;
sll1571-5UTR;sll1571;NP_440563;NA;29;6;NA;NA;NA;NA;PM;6;;;
sll1571-as;sll1571;NP_440563;NA;40;6;NA;NA;NA;NA;PM;6;;;
sll1571-as2;sll1571;NP_440563;NA;95;6;NA;NA;NA;NA;PM;6;;;
sll1571-as3;sll1571;NP_440563;NA;114;6;NA;NA;NA;NA;PM;6;;;
sll1573;sll1573;NP_440557;17.143;444;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1573-5UTR;sll1573;NP_440557;NA;24;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1581;sll1581;NP_440544;54.125;1515;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1581-5UTR;sll1581;NP_440544;NA;36;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1583;sll1583;NP_440542;61.468;1689;0;NA;NA;NA;NA;TM;0;;;
sll1583-3UTR;sll1583;NP_440542;NA;47;0;NA;NA;NA;NA;TM;0;;;
sll1583-5UTR;sll1583;NP_440542;NA;55;0;NA;NA;NA;NA;TM;0;;;
sll1590;sll1590;NP_441247;NA;1053;3;NA;NA;NA;NA;NA;NA;;;
sll1590-5UTR;sll1590;NP_441247;NA;62;3;NA;NA;NA;NA;NA;NA;;;
sll1596;sll1596;NP_441241;12.217;327;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1605;sll1605;NP_441227;18.144;501;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1605-5UTR;sll1605;NP_441227;NA;128;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1609;sll1609;NP_441223;NA;534;0;NA;NA;NA;NA;NA;NA;;;
sll1609-as;sll1609;NP_441223;NA;147;0;NA;NA;NA;NA;NA;NA;;;
sll1615;sll1615;NP_441216;49.981;1371;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1618;sll1618;NP_441101;21.435;603;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1618-5UTR;sll1618;NP_441101;NA;33;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1626;sll1626;NP_441090;22.744;612;0;NA;NA;NA;NA;NA;NA;;;
sll1626-3UTR;sll1626;NP_441090;NA;45;0;NA;NA;NA;NA;NA;NA;;;
sll1626-5UTR;sll1626;NP_441090;NA;35;0;NA;NA;NA;NA;NA;NA;;;
sll1628;sll1628;NP_441087;43.103;1155;0;NA;NA;NA;NA;PM;0;;;
sll1628-5UTR;sll1628;NP_441087;NA;53;0;NA;NA;NA;NA;PM;0;;;
sll1631;sll1631;NP_441084;NA;495;0;NA;NA;NA;NA;NA;NA;;;
sll1631-as;sll1631;NP_441084;NA;99;0;NA;NA;NA;NA;NA;NA;;;
sll1635;sll1635;NP_440394;25.066;648;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1635-as;sll1635;NP_440394;NA;62;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1636;sll1636;NP_440391;19.547;573;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1636-5UTR;sll1636;NP_440391;NA;51;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1639;sll1639;NP_440388;NA;726;0;NA;NA;NA;NA;unknown;0;;;
sll1639-5UTR;sll1639;NP_440388;NA;56;0;NA;NA;NA;NA;unknown;0;;;
sll1640;sll1640;NP_440387;35.589;966;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1641;sll1641;NP_440384;53.041;1404;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1655;sll1655;NP_440151;NA;825;0;9;62;0.225454545;VLXT;NA;NA;;;
sll1662;sll1662;NP_440143;32.342;894;0;7;94;0.315436242;VLXT;Soluble proteins;0;;;
sll1662-5UTR;sll1662;NP_440143;NA;24;0;7;94;11.75;VLXT;Soluble proteins;0;;;
sll1663;sll1663;NP_440142;24.104;663;0;5;54;0.244343891;VLXT;Soluble proteins;0;;;
sll1663-5UTR;sll1663;NP_440142;NA;85;0;5;54;1.905882353;VLXT;Soluble proteins;0;;;
sll1664;sll1664;NP_440141;35.576;939;0;4;27;0.086261981;VSL2b;TM;0;;;
sll1664-as;sll1664;NP_440141;NA;47;0;4;27;1.723404255;VSL2b;TM;0;;;
sll1665;sll1665;NP_440140;63.607;1770;1;2;562;0.952542373;VSL2b;PM;0;;;
sll1665-3UTR;sll1665;NP_440140;NA;86;1;2;562;19.60465116;VSL2b;PM;0;;;
sll1665-5UTR;sll1665;NP_440140;NA;173;1;2;562;9.74566474;VSL2b;PM;0;;;
sll1665-as;sll1665;NP_440140;NA;140;1;2;562;12.04285714;VSL2b;PM;0;;;
sll1666;sll1666;NP_440138;17.442;480;1;9;98;0.6125;PV2;unknown;1;;;
sll1666-3UTR;sll1666;NP_440138;NA;72;1;9;98;4.083333333;PV2;unknown;1;;;
sll1666-5UTR;sll1666;NP_440138;NA;74;1;9;98;3.972972973;PV2;unknown;1;;;
sll1670;sll1670;NP_440130;NA;1137;0;8;125;0.329815303;VLXT;NA;NA;;;
sll1677;sll1677;NP_440119;21.219;612;4;12;153;0.75;PV2;PM;4;;;
sll1677-5UTR;sll1677;NP_440119;NA;20;4;12;153;22.95;PV2;PM;4;;;
sll1677-as;sll1677;NP_440119;NA;107;4;12;153;4.289719626;PV2;PM;4;;;
sll1678;sll1678;NP_440118;NA;549;4;10;120;0.655737705;PV2;NA;NA;;;
sll1681;sll1681;NP_440113;NA;1524;2;7;142;0.279527559;PrDOS;NA;NA;;;
sll1681-as;sll1681;NP_440113;NA;134;2;7;142;3.179104478;PrDOS;NA;NA;;;
sll1682;sll1682;NP_440110;38.267;1083;0;8;113;0.313019391;VLXT;Soluble proteins;0;;;
sll1682-5UTR;sll1682;NP_440110;NA;602;0;8;113;0.563122924;VLXT;Soluble proteins;0;;;
sll1686;sll1686;NP_440101;NA;1467;0;11;106;0.216768916;VLXT;unknown;0;;;
sll1686-5UTR;sll1686;NP_440101;NA;53;0;11;106;6;VLXT;unknown;0;;;
sll1686-as;sll1686;NP_440101;NA;61;0;11;106;5.213114754;VLXT;unknown;0;;;
sll1692;sll1692;NP_441074;17.258;438;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1692-3UTR;sll1692;NP_441074;NA;279;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1692-5UTR;sll1692;NP_441074;NA;380;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1694;sll1694;NP_441071;17.573;507;1;NA;NA;NA;NA;PM;1;;;
sll1694-5UTR;sll1694;NP_441071;NA;55;1;NA;NA;NA;NA;PM;1;;;
sll1694-as;sll1694;NP_441071;NA;36;1;NA;NA;NA;NA;PM;1;;;
sll1695;sll1695;NP_441070;18.478;513;1;NA;NA;NA;NA;PM;1;;;
sll1695-as;sll1695;NP_441070;NA;90;1;NA;NA;NA;NA;PM;1;;;
sll1697;sll1697;NP_441062;34.974;966;0;NA;NA;NA;NA;unknown;0;;;
sll1697-3UTR;sll1697;NP_441062;NA;63;0;NA;NA;NA;NA;unknown;0;;;
sll1697-5UTR;sll1697;NP_441062;NA;44;0;NA;NA;NA;NA;unknown;0;;;
sll1698;sll1698;NP_441061;14.22;381;3;NA;NA;NA;NA;TM;3;;;
sll1702;sll1702;NP_441056;19.077;513;2;NA;NA;NA;NA;NA;NA;;;
sll1702-5UTR;sll1702;NP_441056;NA;19;2;NA;NA;NA;NA;NA;NA;;;
sll1710;sll1710;NP_441049;NA;786;0;NA;NA;NA;NA;NA;NA;;;
sll1710-as;sll1710;NP_441049;NA;82;0;NA;NA;NA;NA;NA;NA;;;
sll1712;sll1712;NP_440778;10.891;303;0;NA;NA;NA;NA;unknown;0;;;
sll1712-5UTR;sll1712;NP_440778;NA;31;0;NA;NA;NA;NA;unknown;0;;;
sll1713;sll1713;NP_440777;NA;1107;0;NA;NA;NA;NA;unknown;0;;;
sll1716;sll1716;NP_440774;NA;786;0;NA;NA;NA;NA;NA;NA;;;
sll1716-5UTR;sll1716;NP_440774;NA;140;0;NA;NA;NA;NA;NA;NA;;;
sll1716-as;sll1716;NP_440774;NA;118;0;NA;NA;NA;NA;NA;NA;;;
sll1717;sll1717;NP_440773;NA;1536;0;NA;NA;NA;NA;NA;NA;;;
sll1723;sll1723;NP_440762;46.2;1242;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1723-as;sll1723;NP_440762;NA;98;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1725;sll1725;NP_440760;67.028;1833;5;NA;NA;NA;NA;PM;11;;;
sll1725-as;sll1725;NP_440760;NA;136;5;NA;NA;NA;NA;PM;11;;;
sll1726;sll1726;NP_440759;NA;990;0;NA;NA;NA;NA;NA;NA;;;
sll1734;sll1734;NP_440753;50.038;1296;0;NA;NA;NA;NA;TM;0;;;
sll1735;sll1735;NP_440752;14.105;402;0;NA;NA;NA;NA;unknown;0;;;
sll1735-3UTR;sll1735;NP_440752;NA;90;0;NA;NA;NA;NA;unknown;0;;;
sll1735-5UTR;sll1735;NP_440752;NA;124;0;NA;NA;NA;NA;unknown;0;;;
sll1740;sll1740;NP_440742;13.786;369;0;NA;NA;NA;NA;Large ribosomal protein;0;;;
sll1740-5UTR;sll1740;NP_440742;NA;24;0;NA;NA;NA;NA;Large ribosomal protein;0;;;
sll1744;sll1744;NP_440738;25.852;717;0;NA;NA;NA;NA;Large ribosomal protein;0;;;
sll1744-as;sll1744;NP_440738;NA;331;0;NA;NA;NA;NA;Large ribosomal protein;0;;;
sll1744-as2;sll1744;NP_440738;NA;143;0;NA;NA;NA;NA;Large ribosomal protein;0;;;
sll1745;sll1745;NP_440737;18.675;522;0;NA;NA;NA;NA;Large ribosomal protein;0;;;
sll1747;sll1747;NP_440735;39.287;1089;0;NA;NA;NA;NA;unknown;0;;;
sll1747-5UTR;sll1747;NP_440735;NA;26;0;NA;NA;NA;NA;unknown;0;;;
sll1749a;sll1749a;YP_680420;NA;255;2;4;51;0.6;PV2;NA;NA;;;
sll1749a-5UTR;sll1749a;YP_680420;NA;32;2;4;51;4.78125;PV2;NA;NA;;;
sll1755;sll1755;NP_441024;NA;1224;8;NA;NA;NA;NA;NA;NA;;;
sll1755-5UTR;sll1755;NP_441024;NA;22;8;NA;NA;NA;NA;NA;NA;;;
sll1755-as;sll1755;NP_441024;NA;37;8;NA;NA;NA;NA;NA;NA;;;
sll1755-as2;sll1755;NP_441024;NA;227;8;NA;NA;NA;NA;NA;NA;;;
sll1758;sll1758;NP_441013;NA;1446;0;NA;NA;NA;NA;NA;NA;;;
sll1758-3UTR;sll1758;NP_441013;NA;288;0;NA;NA;NA;NA;NA;NA;;;
sll1758-5UTR;sll1758;NP_441013;NA;27;0;NA;NA;NA;NA;NA;NA;;;
sll1762;sll1762;NP_441008;32.831;900;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1762-3UTR;sll1762;NP_441008;NA;25;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1762-5UTR;sll1762;NP_441008;NA;29;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1764;sll1764;NP_441006;14.296;435;0;NA;NA;NA;NA;PM;0;;;
sll1764-5UTR;sll1764;NP_441006;NA;51;0;NA;NA;NA;NA;PM;0;;;
sll1765;sll1765;NP_441005;NA;480;0;NA;NA;NA;NA;NA;NA;;;
sll1767;sll1767;NP_441001;13.237;342;0;NA;NA;NA;NA;Small ribosomal protein;0;;;
sll1767-3UTR;sll1767;NP_441001;NA;10;0;NA;NA;NA;NA;Small ribosomal protein;0;;;
sll1767-5UTR;sll1767;NP_441001;NA;142;0;NA;NA;NA;NA;Small ribosomal protein;0;;;
sll1768;sll1768;NP_440996;35.989;981;6;NA;NA;NA;NA;PM;2;;;
sll1768-5UTR;sll1768;NP_440996;NA;57;6;NA;NA;NA;NA;PM;2;;;
sll1771;sll1771;NP_440991;28.472;765;0;NA;NA;NA;NA;unknown;0;;;
sll1771-as;sll1771;NP_440991;NA;115;0;NA;NA;NA;NA;unknown;0;;;
sll1776;sll1776;NP_440983;23.874;678;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1780;sll1780;NP_440977;NA;1017;0;NA;NA;NA;NA;NA;NA;;;
sll1780-3UTR;sll1780;NP_440977;NA;240;0;NA;NA;NA;NA;NA;NA;;;
sll1780-5UTR;sll1780;NP_440977;NA;297;0;NA;NA;NA;NA;NA;NA;;;
sll1784;sll1784;NP_440965;29.757;804;1;NA;NA;NA;NA;Soluble proteins;0;;;
sll1785;sll1785;NP_440964;30.011;807;1;NA;NA;NA;NA;Soluble proteins;0;;;
sll1786;sll1786;NP_440686;29.258;786;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1791;sll1791;NP_440683;NA;387;0;NA;NA;NA;NA;NA;NA;;;
sll1791-5UTR;sll1791;NP_440683;NA;24;0;NA;NA;NA;NA;NA;NA;;;
sll1792;sll1792;NP_440682;NA;429;0;NA;NA;NA;NA;NA;NA;;;
sll1796;sll1796;NP_440674;12.463;363;1;NA;NA;NA;NA;NA;NA;;;
sll1804;sll1804;NP_440663;27.147;723;0;NA;NA;NA;NA;Small ribosomal protein;0;;;
sll1806;sll1806;NP_440659;13.294;369;0;NA;NA;NA;NA;Large ribosomal protein;0;;;
sll1806-as;sll1806;NP_440659;NA;250;0;NA;NA;NA;NA;Large ribosomal protein;0;;;
sll1807;sll1807;NP_440658;11.707;318;0;NA;NA;NA;NA;Large ribosomal protein;0;;;
sll1808;sll1808;NP_440657;22.508;603;0;NA;NA;NA;NA;Large ribosomal protein;0;;;
sll1809;sll1809;NP_440656;14.666;402;0;NA;NA;NA;NA;Small ribosomal protein;0;;;
sll1810;sll1810;NP_440655;19.666;540;0;NA;NA;NA;NA;Large ribosomal protein;0;;;
sll1815;sll1815;NP_440650;20.453;564;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1816;sll1816;NP_440647;14.572;384;0;NA;NA;NA;NA;Small ribosomal protein;0;;;
sll1818;sll1818;NP_440645;35.003;945;0;NA;NA;NA;NA;unknown;0;;;
sll1818-as;sll1818;NP_440645;NA;59;0;NA;NA;NA;NA;unknown;0;;;
sll1819;sll1819;NP_440644;13.228;351;0;NA;NA;NA;NA;Large ribosomal protein;0;;;
sll1820;sll1820;NP_440643;31.355;828;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1823;sll1823;NP_440638;48.679;1332;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1823-as;sll1823;NP_440638;NA;154;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1824;sll1824;NP_440637;13.442;357;1;NA;NA;NA;NA;Large ribosomal protein;0;;;
sll1832;sll1832;NP_440464;NA;459;0;NA;NA;NA;NA;NA;NA;;;
sll1832-5UTR;sll1832;NP_440464;NA;42;0;NA;NA;NA;NA;NA;NA;;;
sll1834;sll1834;NP_440458;NA;405;0;NA;NA;NA;NA;NA;NA;;;
sll1834-3UTR;sll1834;NP_440458;NA;102;0;NA;NA;NA;NA;NA;NA;;;
sll1834-5UTR;sll1834;NP_440458;NA;26;0;NA;NA;NA;NA;NA;NA;;;
sll1837;sll1837;NP_440453;15.467;438;1;NA;NA;NA;NA;Soluble proteins;0;;;
sll1837-3UTR;sll1837;NP_440453;NA;693;1;NA;NA;NA;NA;Soluble proteins;0;;;
sll1837-5UTR;sll1837;NP_440453;NA;29;1;NA;NA;NA;NA;Soluble proteins;0;;;
sll1844-as2;sll1844;NA;NA;203;NA;NA;NA;NA;NA;NA;NA;;;
sll1845;sll1845;NP_441928;NA;480;4;NA;NA;NA;NA;NA;NA;;;
sll1845-3UTR;sll1845;NP_441928;NA;14;4;NA;NA;NA;NA;NA;NA;;;
sll1845-5UTR;sll1845;NP_441928;NA;14;4;NA;NA;NA;NA;NA;NA;;;
sll1848;sll1848;NP_441924;24.298;678;0;NA;NA;NA;NA;TM;0;;;
sll1848-5UTR;sll1848;NP_441924;NA;25;0;NA;NA;NA;NA;TM;0;;;
sll1849;sll1849;NP_441922;NA;636;0;NA;NA;NA;NA;NA;NA;;;
sll1851;sll1851;NP_441919;NA;387;0;NA;NA;NA;NA;NA;NA;;;
sll1851-as;sll1851;NP_441919;NA;115;0;NA;NA;NA;NA;NA;NA;;;
sll1852;sll1852;NP_441918;16.692;450;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1852-5UTR;sll1852;NP_441918;NA;44;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1853;sll1853;NP_441917;NA;465;0;NA;NA;NA;NA;NA;NA;;;
sll1854;sll1854;NP_441916;30.734;798;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1860;sll1860;NP_441911;NA;786;0;NA;NA;NA;NA;NA;NA;;;
sll1860-as;sll1860;NP_441911;NA;136;0;NA;NA;NA;NA;NA;NA;;;
sll1862;sll1862;NP_441909;15.194;432;1;NA;NA;NA;NA;NA;NA;;;
sll1862-3UTR;sll1862;NP_441909;NA;34;1;NA;NA;NA;NA;NA;NA;;;
sll1869;sll1869;NP_441547;40.828;1074;0;NA;NA;NA;NA;TM;0;;;
sll1869-5UTR;sll1869;NP_441547;NA;104;0;NA;NA;NA;NA;TM;0;;;
sll1870;sll1870;NP_441546;25.495;681;0;NA;NA;NA;NA;PM;6;;;
sll1872;sll1872;NP_441542;NA;1392;1;NA;NA;NA;NA;unknown;0;;;
sll1872-3UTR;sll1872;NP_441542;NA;37;1;NA;NA;NA;NA;unknown;0;;;
sll1872-5UTR;sll1872;NP_441542;NA;93;1;NA;NA;NA;NA;unknown;0;;;
sll1876;sll1876;NP_441538;NA;1401;0;NA;NA;NA;NA;NA;NA;;;
sll1878;sll1878;NP_441533;40.62;1107;0;NA;NA;NA;NA;PM;0;;;
sll1878-3UTR;sll1878;NP_441533;NA;66;0;NA;NA;NA;NA;PM;0;;;
sll1878-5UTR;sll1878;NP_441533;NA;130;0;NA;NA;NA;NA;PM;0;;;
sll1878-as;sll1878;NP_441533;NA;77;0;NA;NA;NA;NA;PM;0;;;
sll1882;sll1882;NP_441529;19.671;525;1;NA;NA;NA;NA;Soluble proteins;0;;;
sll1882-3UTR;sll1882;NP_441529;NA;96;1;NA;NA;NA;NA;Soluble proteins;0;;;
sll1882-5UTR;sll1882;NP_441529;NA;329;1;NA;NA;NA;NA;Soluble proteins;0;;;
sll1883;sll1883;NP_441528;43.32;1242;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1883-3UTR;sll1883;NP_441528;NA;31;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1883-5UTR;sll1883;NP_441528;NA;31;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1890;sll1890;NP_441516;NA;555;0;NA;NA;NA;NA;NA;NA;;;
sll1891;sll1891;NP_441515;26.435;759;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1891-3UTR;sll1891;NP_441515;NA;605;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1891-5UTR;sll1891;NP_441515;NA;28;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1892;sll1892;NP_441513;25.668;747;0;NA;NA;NA;NA;unknown;0;;;
sll1892-5UTR;sll1892;NP_441513;NA;120;0;NA;NA;NA;NA;unknown;0;;;
sll1893;sll1893;NP_441512;27.973;786;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1894;sll1894;NP_441510;61.681;1671;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1894-as;sll1894;NP_441510;NA;77;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1895;sll1895;NP_441507;79.67;2091;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1895-as;sll1895;NP_441507;NA;32;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1895-as2;sll1895;NP_441507;NA;22;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1897;sll1897;NP_441504;16.758;426;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1897-3UTR;sll1897;NP_441504;NA;50;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1897-5UTR;sll1897;NP_441504;NA;219;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1898;sll1898;NP_441502;NA;999;8;NA;NA;NA;NA;NA;NA;;;
sll1898-as;sll1898;NP_441502;NA;39;8;NA;NA;NA;NA;NA;NA;;;
sll1899;sll1899;NP_441501;NA;951;9;NA;NA;NA;NA;NA;NA;;;
sll1900;sll1900;NP_441499;23.306;630;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1910;sll1910;NP_440601;87.546;2346;0;NA;NA;NA;NA;Small ribosomal protein;0;;;
sll1911;sll1911;NP_440600;8.9621;246;0;NA;NA;NA;NA;TM;0;;;
sll1911-3UTR;sll1911;NP_440600;NA;30;0;NA;NA;NA;NA;TM;0;;;
sll1911-5UTR;sll1911;NP_440600;NA;184;0;NA;NA;NA;NA;TM;0;;;
sll1915;sll1915;NP_440594;NA;552;1;NA;NA;NA;NA;TM;1;;;
sll1915-3UTR;sll1915;NP_440594;NA;29;1;NA;NA;NA;NA;TM;1;;;
sll1915-5UTR;sll1915;NP_440594;NA;115;1;NA;NA;NA;NA;TM;1;;;
sll1916;sll1916;NP_440593;NA;603;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1916-5UTR;sll1916;NP_440593;NA;12;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1926;sll1926;NP_440568;9.4712;258;2;NA;NA;NA;NA;NA;NA;;;
sll1926-3UTR;sll1926;NP_440568;NA;17;2;NA;NA;NA;NA;NA;NA;;;
sll1926-5UTR;sll1926;NP_440568;NA;82;2;NA;NA;NA;NA;NA;NA;;;
sll1927;sll1927;NP_440567;69.206;1854;0;NA;NA;NA;NA;PM;5;;;
sll1927-3UTR;sll1927;NP_440567;NA;60;0;NA;NA;NA;NA;PM;5;;;
sll1927-5UTR;sll1927;NP_440567;NA;161;0;NA;NA;NA;NA;PM;5;;;
sll1932;sll1932;NP_440443;86.029;2316;0;NA;NA;NA;NA;unknown;0;;;
sll1932-5UTR;sll1932;NP_440443;NA;61;0;NA;NA;NA;NA;unknown;0;;;
sll1932-as;sll1932;NP_440443;NA;102;0;NA;NA;NA;NA;unknown;0;;;
sll1940;sll1940;NP_440425;17.011;474;1;NA;NA;NA;NA;Soluble proteins;0;;;
sll1941;sll1941;NP_440422;NA;2763;0;NA;NA;NA;NA;unknown;0;;;
sll1941-5UTR;sll1941;NP_440422;NA;31;0;NA;NA;NA;NA;unknown;0;;;
sll1941-as;sll1941;NP_440422;NA;122;0;NA;NA;NA;NA;unknown;0;;;
sll1957;sll1957;NP_441182;12.346;315;0;NA;NA;NA;NA;PM;0;;;
sll1957-5UTR;sll1957;NP_441182;NA;28;0;NA;NA;NA;NA;PM;0;;;
sll1958;sll1958;NP_441181;40.686;1050;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1958-5UTR;sll1958;NP_441181;NA;53;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1960;sll1960;NP_441179;NA;423;2;NA;NA;NA;NA;NA;NA;;;
sll1960-3UTR;sll1960;NP_441179;NA;159;2;NA;NA;NA;NA;NA;NA;;;
sll1960-5UTR;sll1960;NP_441179;NA;29;2;NA;NA;NA;NA;NA;NA;;;
sll1973;sll1973;NP_441319;23.534;669;6;NA;NA;NA;NA;TM;6;;;
sll1973-3UTR;sll1973;NP_441319;NA;258;6;NA;NA;NA;NA;TM;6;;;
sll1973-5UTR;sll1973;NP_441319;NA;35;6;NA;NA;NA;NA;TM;6;;;
sll1973-as;sll1973;NP_441319;NA;21;6;NA;NA;NA;NA;TM;6;;;
sll1979;sll1979;NP_441307;15.946;429;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1979-3UTR;sll1979;NP_441307;NA;79;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1979-5UTR;sll1979;NP_441307;NA;73;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll1980;sll1980;NP_441306;19.517;543;1;NA;NA;NA;NA;TM;1;;;
sll1980-3UTR;sll1980;NP_441306;NA;94;1;NA;NA;NA;NA;TM;1;;;
sll1980-5UTR;sll1980;NP_441306;NA;33;1;NA;NA;NA;NA;TM;1;;;
sll1982;sll1982;NP_441302;NA;666;0;NA;NA;NA;NA;NA;NA;;;
sll1982-3UTR;sll1982;NP_441302;NA;257;0;NA;NA;NA;NA;NA;NA;;;
sll1982-5UTR;sll1982;NP_441302;NA;43;0;NA;NA;NA;NA;NA;NA;;;
sll1983;sll1983;NP_441301;NA;360;0;NA;NA;NA;NA;NA;NA;;;
sll1983-5UTR;sll1983;NP_441301;NA;29;0;NA;NA;NA;NA;NA;NA;;;
sll1984;sll1984;NP_441300;NA;495;0;NA;NA;NA;NA;NA;NA;;;
sll1985;sll1985;NP_441299;NA;360;0;NA;NA;NA;NA;NA;NA;;;
sll1985-as;sll1985;NP_441299;NA;137;0;NA;NA;NA;NA;NA;NA;;;
sll1988;sll1988;NP_441294;32.204;909;0;NA;NA;NA;NA;unknown;0;;;
sll1988-3UTR;sll1988;NP_441294;NA;613;0;NA;NA;NA;NA;unknown;0;;;
sll1988-5UTR;sll1988;NP_441294;NA;33;0;NA;NA;NA;NA;unknown;0;;;
sll1994a;sll1994a;NP_001035872;NA;99;1;1;31;0.939393939;Espritz-D;NA;NA;;;
sll1997;sll1997;NP_441366;NA;468;0;NA;NA;NA;NA;NA;NA;;;
sll1997-5UTR;sll1997;NP_441366;NA;522;0;NA;NA;NA;NA;NA;NA;;;
sll1998;sll1998;NP_441365;NA;849;0;NA;NA;NA;NA;NA;NA;;;
sll1999;sll1999;NP_441364;NA;519;1;NA;NA;NA;NA;NA;NA;;;
sll2008;sll2008;NP_441035;47.976;1293;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll2008-5UTR;sll2008;NP_441035;NA;11;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll2009;sll2009;NP_441034;48.104;1308;0;NA;NA;NA;NA;Soluble proteins;0;;;
sll2011;sll2011;NP_441032;23.508;627;0;NA;NA;NA;NA;NA;NA;;;
sll2013;sll2013;NP_441030;NA;588;0;NA;NA;NA;NA;NA;NA;;;
sll2013-as;sll2013;NP_441030;NA;29;0;NA;NA;NA;NA;NA;NA;;;
sll5002;sll5002;NP_942158;NA;348;0;NA;NA;NA;NA;NA;NA;;;
